Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,ISIN,Ticker,Nominal,Mercado,Capital Admitido
ACCIONA,88.7,2.31,89.4,85.7,97353.0,8570.09,02/11/2020,Cierre,ES0125220311,ANA,1.0,Mercado Continuo,"54.856.653,00 Euros"
ACERINOX,6.808,0.06,6.868,6.732,752624.0,5128.33,02/11/2020,Cierre,ES0132105018,ACX,0.25,Mercado Continuo,"67.636.548,25 Euros"
ACS,22.03,7.99,22.26,20.22,1683165.0,36267.89,02/11/2020,Cierre,ES0167050915,ACS,0.5,Mercado Continuo,"155.332.297,00 Euros"
AENA,120.0,3.81,120.3,113.0,215856.0,25494.05,02/11/2020,Cierre,ES0105046009,AENA,10.0,Mercado Continuo,"1.500.000.000,00 Euros"
ALMIRALL,9.44,2.78,9.44,9.03,508037.0,4734.69,02/11/2020,Cierre,ES0157097017,ALM,0.12,Mercado Continuo,"21.373.875,24 Euros"
AMADEUS,41.01,0.05,41.08,39.43,875163.0,35738.09,02/11/2020,Cierre,ES0109067019,AMS,0.01,Mercado Continuo,"4.504.992,05 Euros"
ARCELORMIT.,11.95,2.31,12.048,11.554,428476.0,5083.62,02/11/2020,Cierre,LU1598757687,MTS,0,Mercado Continuo,0
B.SANTANDER,1.7826,4.2,1.7826,1.712,48380360.0,85103.87,02/11/2020,Cierre,ES0113900J37,SAN,0.5,Mercado Continuo,"8.309.057.291,00 Euros"
BA.SABADELL,0.273,4.2,0.273,0.261,47832302.0,12836.53,02/11/2020,Cierre,ES0113860A34,SAB,0.125,Mercado Continuo,"703.370.587,62 Euros"
BANKIA,1.086,3.23,1.09,1.046,4078906.0,4362.57,02/11/2020,Cierre,ES0113307062,BKIA,1.0,Mercado Continuo,"3.069.522.105,00 Euros"
BANKINTER,3.28,1.96,3.281,3.178,3634991.0,11787.99,02/11/2020,Cierre,ES0113679I37,BKT,0.3,Mercado Continuo,"269.659.846,20 Euros"
BBVA,2.499,1.5,2.518,2.453,25434425.0,63382.26,02/11/2020,Cierre,ES0113211835,BBVA,0.49,Mercado Continuo,"3.267.264.424,20 Euros"
CAIXABANK,1.611,3.14,1.611,1.543,14232953.0,22553.56,02/11/2020,Cierre,ES0140609019,CABK,1.0,Mercado Continuo,"5.981.438.031,00 Euros"
CELLNEX,54.92,-0.36,55.34,54.28,742070.0,40794.3,02/11/2020,Cierre,ES0105066007,CLNX,0.25,Mercado Continuo,"121.677.167,25 Euros"
CIE AUTOMOT.,16.78,-0.12,17.1,16.61,266746.0,4477.52,02/11/2020,Cierre,ES0105630315,CIE,0.25,Mercado Continuo,"32.250.000,00 Euros"
ENAGAS,18.72,1.03,18.82,18.315,588807.0,10997.25,02/11/2020,Cierre,ES0130960018,ENG,1.5,Mercado Continuo,"392.985.111,00 Euros"
ENDESA,23.57,2.43,23.57,22.98,685583.0,16095.76,02/11/2020,Cierre,ES0130670112,ELE,1.2,Mercado Continuo,"1.270.502.540,40 Euros"
FERROVIAL,18.93,1.91,19.07,18.29,1099902.0,20698.9,02/11/2020,Cierre,ES0118900010,FER,0.2,Mercado Continuo,"148.270.086,40 Euros"
GRIFOLS CL.A,23.65,1.98,23.87,23.32,570020.0,13475.75,02/11/2020,Cierre,ES0171996087,GRF,0.25,Mercado Continuo,"106.532.449,50 Euros"
IAG,1.068,"0,00",1.0745,0.991,23676716.0,24552.19,02/11/2020,Cierre,ES0177542018,IAG,0.1,Mercado Continuo,"497.147.601,00 Euros"
IBERDROLA,10.37,2.42,10.45,10.105,9403045.0,97205.29,02/11/2020,Cierre,ES0144580Y14,IBE,0.75,Mercado Continuo,"4.762.545.750,00 Euros"
INDITEX,21.39,0.94,21.58,20.9,24987215.0,527407.73,02/11/2020,Cierre,ES0148396007,ITX,0.03,Mercado Continuo,"93.499.560,00 Euros"
INDRA A,5.15,"0,00",5.215,5.06,784155.0,4044.05,02/11/2020,Cierre,ES0118594417,IDR,0.2,Mercado Continuo,"35.330.880,40 Euros"
INM.COLONIAL,6.215,1.8,6.23,5.99,850483.0,5227.64,02/11/2020,Cierre,ES0139140174,COL,2.5,Mercado Continuo,"1.270.286.952,50 Euros"
MAPFRE,1.322,2.16,1.343,1.292,7795320.0,10292.62,02/11/2020,Cierre,ES0124244E34,MAP,0.1,Mercado Continuo,"307.955.327,30 Euros"
MELIA HOTELS,3.14,-1.26,3.188,3.048,1154060.0,3614.67,02/11/2020,Cierre,ES0176252718,MEL,0.2,Mercado Continuo,"44.080.000,00 Euros"
MERLIN,5.815,0.69,5.865,5.7,926194.0,5376.69,02/11/2020,Cierre,ES0105025003,MRL,1.0,Mercado Continuo,"469.770.750,00 Euros"
NATURGY,16.455,3.17,16.55,15.94,3614263.0,58293.96,02/11/2020,Cierre,ES0116870314,NTGY,1.0,Mercado Continuo,"969.613.801,00 Euros"
PHARMA MAR,119.5,3.82,121.2,115.3,171931.0,20437.46,02/11/2020,Cierre,ES0169501022,PHM,0.6,Mercado Continuo,"11.132.464,20 Euros"
R.E.C.,15.38,1.69,15.38,15.08,1065200.0,16340.4,02/11/2020,Cierre,ES0173093024,REE,0.5,Mercado Continuo,"270.540.000,00 Euros"
REPSOL,5.672,6.22,5.68,5.264,10452056.0,57814.31,02/11/2020,Cierre,ES0173516115,REP,1.0,Mercado Continuo,"1.626.379.018,00 Euros"
SIEMENS GAME,24.6,1.11,24.76,24.05,1295819.0,31755.36,02/11/2020,Cierre,ES0143416115,SGRE,0.17,Mercado Continuo,"115.794.374,94 Euros"
SOLARIA,16.77,0.42,16.87,16.45,436415.0,7283.03,02/11/2020,Cierre,ES0165386014,SLR,0.01,Mercado Continuo,"1.249.508,76 Euros"
TELEFONICA,2.884,2.78,2.894,2.752,16665809.0,47338.95,02/11/2020,Cierre,ES0178430E18,TEF,1.0,Mercado Continuo,"5.328.437.672,00 Euros"
VISCOFAN,57.0,-1.64,58.45,56.95,97528.0,5588.99,02/11/2020,Cierre,ES0184262212,VIS,0.7,Mercado Continuo,"32.550.000,00 Euros"
